trend,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
Patrik Elias,10,5,15,0,11,10,10,10,5,10,28,55,10,5,29,14
400 IM,48,40,41,46,18,32,32,40,16,25,74,100,16,24,40,32
Patric Hornqvist,58,0,0,0,0,45,30,0,45,46,33,100,44,29,29,29
Amy Poehler,34,49,41,48,56,48,49,44,39,43,32,100,50,44,48,79
Edna St. Vincent Millay,41,28,100,31,47,28,42,56,42,43,32,47,69,27,41,28
Brian Johnson,92,60,68,65,81,64,98,61,65,69,51,89,73,100,56,67
Karen Pence,20,21,27,100,41,99,21,10,32,21,18,18,21,20,41,41
Pam Bondi,0,1,1,0,0,12,1,100,22,32,7,5,3,1,23,20
Sweet Dreams,82,90,90,94,75,94,81,84,91,95,81,76,87,94,99,100
Marion Le Pen,3,3,2,1,2,2,1,2,2,2,2,3,10,47,51,100
State Sen. Carlos Uresti,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,97
Alumni Hall,30,50,47,45,34,56,51,35,61,36,34,74,30,34,25,100
Lawrence Krauss,4,11,14,24,28,15,8,11,27,16,13,26,9,13,19,100
Michelle Wolf,25,22,53,21,18,50,50,27,22,21,10,8,9,16,18,100
Brent Honeywell,24,12,0,7,7,6,18,0,6,22,7,17,6,6,15,51
US Capitol,47,70,30,35,53,53,26,53,43,30,24,47,67,62,100,75
Larry Scott,100,55,57,63,52,47,83,56,84,57,32,73,74,64,73,55
White House Correspondents,16,18,11,4,4,10,8,12,100,45,18,25,12,21,31,16
Lisa Simpson,66,53,67,61,60,69,61,63,80,70,59,59,62,51,76,100
Rush Hour 4,6,8,11,10,9,7,6,5,18,38,24,13,8,4,91,100
Middlesex Hospital,16,17,12,10,12,17,13,18,15,21,8,7,18,20,18,100
Daniel Hudson,15,8,17,13,16,8,8,16,32,13,9,15,11,19,100,28
Supreme,53,54,52,50,49,67,60,58,64,59,54,54,54,61,64,100
200 IM,39,40,56,44,60,39,39,40,61,100,83,49,53,38,39,35
The AR-15 Is Different,39,40,56,44,60,39,39,40,61,100,83,49,53,38,39,35
Wayne LaPierre,1,0,0,<1,<1,1,1,1,7,4,4,4,3,3,4,100
Ben Shapiro,79,72,55,51,53,70,64,71,91,75,73,70,73,71,91,100
Mr. Burns,78,46,25,0,34,34,56,34,58,38,25,33,76,87,100,46
Netflix in March,10,14,43,35,42,21,17,49,54,43,51,69,95,57,66,100
Reboot,92,87,80,81,95,92,86,85,91,93,83,90,82,86,100,95
Airbnb Plus,8,5,4,13,6,8,7,9,5,7,13,6,9,11,55,100
California Sen. Tony Mendoza,8,5,4,13,6,8,7,9,5,7,13,6,9,11,55,100
Kevin Hassett,0,21,0,45,20,20,0,0,0,0,0,0,39,39,100,31
Raj Shah,57,100,28,8,3,12,13,4,7,4,4,8,5,5,12,11
First National Bank,67,80,46,40,70,64,64,59,89,49,36,55,75,67,82,100
Academic All-District,67,80,46,40,70,64,64,59,89,49,36,55,75,67,82,100
Heather Sher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,100
Trump Promotes Arming Teachers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,100
Greene County,90,76,61,56,84,88,90,95,87,72,48,90,96,86,95,100
Flamin,67,49,66,74,50,56,52,62,59,49,76,59,72,60,75,100
Conor McGregor,85,80,76,100,97,83,77,75,70,79,89,81,68,59,85,88
Adam Vinatieri,8,12,5,4,3,7,7,6,16,8,2,6,2,14,39,100
Rep. Peter Kocot,8,12,5,4,3,7,7,6,16,8,2,6,2,14,39,100
Frank Vatrano,6,0,0,4,3,0,5,0,0,0,0,0,3,3,100,41
The Sun Is Also a Star,58,59,44,51,52,84,32,39,47,22,72,32,44,100,38,79
Nick Folk,64,50,37,37,33,0,0,33,34,73,36,0,31,0,81,100
Donald Smith,7,11,10,6,32,91,100,50,24,21,17,14,36,38,71,45
Scot Peterson,<1,0,0,<1,0,0,0,<1,0,<1,0,0,0,<1,7,100
Ramon Sessions,8,0,0,37,25,0,0,8,0,0,0,0,16,8,49,100
SEC Media Days,8,0,0,37,25,0,0,8,0,0,0,0,16,8,49,100
ASPIRA,86,66,71,87,82,92,97,87,95,80,71,100,90,91,88,93
Kellyn Acosta,0,53,58,58,52,52,51,0,0,58,58,0,100,50,77,53
Raj Shah,57,100,28,8,3,12,13,4,7,4,4,8,5,5,12,11
Erase Me,22,25,15,20,22,27,16,20,18,33,17,26,22,41,100,43
Tyrod Taylor,24,47,28,31,27,38,51,35,39,34,30,46,34,37,70,100
Brendan Fraser,4,3,4,5,5,4,5,4,4,3,5,6,4,3,4,43
Neanderthals,42,44,24,38,28,37,33,37,28,28,20,30,12,50,58,100
Sugar Land,88,91,89,76,91,98,100,87,99,82,78,80,83,87,93,91
Atalanta,5,5,35,8,6,6,7,75,20,9,42,9,7,9,100,30
Amber Alert,13,14,10,9,11,6,9,7,10,7,5,8,10,7,100,92
Underoath,8,4,4,3,3,7,3,6,9,8,8,4,6,13,88,100
Broward Sheriff,6,6,5,5,6,5,40,66,25,15,13,13,12,9,51,100
Anders Bjork,32,33,37,0,65,33,33,33,0,0,37,0,48,47,65,100
Dortmund,39,40,67,41,46,43,43,100,53,43,79,50,41,41,82,54
D'Angelo Russell,73,30,100,66,44,74,44,30,30,0,33,44,86,28,44,30
Ben Shapiro,79,72,55,51,53,70,64,71,91,75,73,70,73,71,91,100
State Farm Center,64,50,27,46,37,53,36,78,29,41,100,44,40,35,61,66
Tiffany Haddish,13,10,14,17,16,32,23,18,17,19,20,39,21,15,59,100
Manafort and Gates,6,0,0,0,0,0,0,6,13,10,7,21,12,12,61,100
Leron Black,0,51,0,0,33,0,0,100,0,0,74,65,0,64,33,85
Mayor Barry,9,8,6,4,2,4,3,3,6,4,2,5,4,4,19,100
Dawn Staley,34,29,13,6,12,12,0,0,24,13,45,6,17,0,46,100
Tom Green,76,74,98,84,83,73,99,89,75,100,77,72,71,69,88,94
Andy Van Vliet,39,40,0,0,39,0,0,0,0,0,0,0,38,0,0,100
Eric Trump,34,22,41,28,100,83,40,30,41,42,44,48,39,29,43,51
Jalen Adams,22,0,25,25,0,15,22,15,31,25,0,15,15,0,15,100
Werenski,49,25,84,56,50,37,99,100,51,28,55,74,36,72,37,26
Scott Hartnell,59,42,13,100,12,0,12,12,24,13,27,12,12,23,24,61
The Wizards,97,92,89,78,91,69,49,77,65,73,83,78,56,76,67,100
David Nwaba,9,0,25,15,27,13,9,9,9,20,10,0,0,26,13,100
Janelle Monae,4,10,7,7,5,5,6,13,17,19,14,10,12,10,43,100
Ted Cruz,44,56,25,36,44,54,50,100,76,89,43,42,53,46,73,95
Panarin,50,52,57,100,25,38,38,77,26,29,43,25,25,61,50,39
Ethan Happ,0,64,19,96,23,11,17,17,100,19,13,0,50,22,23,23
Mrazek,4,2,2,3,2,3,2,2,2,3,9,13,100,32,11,23
Taylor Hall,100,55,21,32,32,30,65,27,39,31,28,58,35,53,30,54
Eriksson Ek,0,13,15,51,13,13,13,0,13,29,0,64,50,0,0,100
Michael Porter Jr.,0,57,94,94,0,0,28,28,29,31,0,0,27,27,28,100
Lack,91,84,79,83,90,97,88,90,86,79,87,90,96,95,100,89
Da'Monte Williams,91,84,79,83,90,97,88,90,86,79,87,90,96,95,100,89
A'ja Wilson,0,0,0,0,0,0,45,45,46,0,100,44,0,0,44,0
Rodney Hood,100,48,17,20,17,6,10,3,1,1,1,1,<1,<1,1,3
Jordan Clarkson,100,40,16,22,26,8,21,6,3,3,2,1,1,1,2,3
Kevin Fiala,83,100,63,78,56,28,42,56,29,31,94,28,54,54,28,100
Leron Black,0,51,0,0,33,0,0,100,0,0,74,65,0,64,33,85
Stalock,0,0,0,0,49,98,0,49,0,0,0,49,0,48,0,100
Phantom of the Opera,56,84,82,90,66,58,65,75,71,100,85,69,70,55,65,90
Dwight Howard,98,66,66,79,48,36,47,79,47,71,73,80,36,42,45,100
Shangela,27,64,60,52,34,34,42,39,96,100,59,40,64,44,59,68
Pico Rivera,23,26,27,31,26,21,35,28,21,24,25,22,21,21,23,100
Nolan Patrick,38,26,25,76,55,23,29,23,30,44,94,38,31,100,32,89
Batgirl,55,64,57,68,45,37,43,45,49,45,47,35,49,29,58,100
Manafort,3,3,4,4,3,3,3,2,8,17,12,21,15,23,46,100
George Hill,100,57,20,34,28,10,16,4,4,3,4,3,3,2,3,5
Alex Barcello,0,0,0,0,0,49,0,0,0,55,0,0,0,0,0,100
Trent Frazier,0,100,22,22,20,39,20,20,20,0,33,19,0,38,0,40
Allonzo Trier,1,2,0,1,0,0,1,1,2,0,0,0,3,1,32,100
Dante Cunningham,100,23,15,11,2,5,2,7,5,0,5,0,0,0,2,15
Never Went,30,28,31,33,22,20,26,28,37,23,23,24,23,30,48,100
JR Smith,71,52,30,40,44,25,42,21,19,37,100,29,18,19,15,32
Giroux,66,70,53,73,88,59,77,60,63,51,100,85,84,63,63,77
Chris Webber,9,19,15,11,7,5,28,31,25,79,100,74,20,14,16,26
Dabin Choi,3,3,7,53,8,5,9,0,0,7,0,0,3,56,9,100
Roberto Luongo,4,3,2,2,2,2,9,10,2,2,4,4,5,12,2,100
The Sixers,73,39,47,100,51,92,41,99,39,18,21,38,31,31,25,78
JaVale McGee,66,57,48,87,40,55,22,56,21,43,55,44,30,30,20,100
32 PTS,0,0,100,0,0,0,0,90,0,0,0,0,0,86,0,0
First National Bank of Omaha,30,27,12,15,23,30,17,24,23,27,12,15,15,20,25,100
Rhapsody in Blue,11,7,9,9,100,13,12,9,10,10,6,6,6,9,6,40
Kelly Oubre,28,55,8,32,24,11,20,22,14,20,12,12,11,13,11,100
Cinderella,76,72,99,100,78,74,70,77,81,100,96,77,60,72,75,88
Bebe,91,90,92,92,89,90,88,92,92,99,100,94,94,92,93,92
Clair de Lune,49,62,64,80,65,55,53,55,49,69,75,59,73,60,47,100
Larry Nance Jr.,100,59,24,22,16,16,14,9,4,4,40,12,3,0,5,17
Daddy Yankee,65,85,91,91,67,66,64,67,70,81,77,60,63,64,69,100
Beal,64,78,56,68,65,56,50,60,55,92,85,100,53,66,47,80
Carolina Kostner,2,3,3,90,69,9,7,4,5,6,6,7,8,36,15,100
Jeff Green,52,30,100,57,47,22,53,15,12,11,17,9,14,14,13,21
Scott Peterson,1,1,1,2,1,1,1,1,1,1,1,1,1,1,10,100
Ricardo Montaner,25,28,24,23,24,21,27,21,23,26,23,28,24,24,22,100
Satoko,7,5,13,92,21,12,2,5,10,8,7,7,12,38,22,100
Trey Burke,12,26,14,12,19,13,10,10,7,4,16,2,27,16,3,100
Rawle Alkins,29,0,0,100,0,30,44,0,76,34,0,29,29,0,0,46
Swan Lake,67,100,89,87,85,77,87,66,77,81,75,69,71,78,79,91
The Cavs,100,77,46,50,32,21,40,18,15,7,7,6,7,6,9,19
Karen Chen,8,15,17,23,25,9,5,8,11,18,11,7,14,100,15,88
Eric Greitens,<1,1,1,<1,<1,1,1,1,1,1,1,<1,1,<1,36,100
Bradie,3,6,7,100,16,6,4,3,3,2,2,2,5,40,6,31
Rey Perez,32,78,37,49,44,54,43,0,45,61,73,21,21,32,32,100
Zaza,100,65,67,88,67,63,51,69,48,75,60,55,52,55,71,69
Michelle Kwan,9,40,23,74,74,37,24,22,32,29,16,23,33,50,19,100
JaVale,66,68,50,100,40,65,31,43,41,35,67,37,26,41,42,93
Amelie,91,67,79,84,86,100,80,89,72,75,80,89,81,87,86,80
Medvedeva,1,3,3,69,32,15,8,7,12,33,10,8,9,41,16,100
Mirai,5,6,6,8,100,32,14,9,9,10,9,7,9,17,8,24
Gabrielle Daleman,<1,1,1,2,100,11,7,3,3,5,1,3,4,25,4,55
First National Bank of Omaha,30,27,12,15,23,30,17,24,23,27,12,15,15,20,25,100
Lou Williams,100,41,97,36,18,19,11,55,19,19,46,24,24,17,18,40
Logic,80,76,61,64,80,77,71,79,72,60,58,71,78,75,78,100
David West,63,73,68,100,74,90,65,62,64,35,58,70,56,61,55,71
44 More,1,<1,<1,1,<1,1,1,1,<1,1,<1,<1,1,1,18,100
Pekka Rinne,32,15,14,59,13,15,12,23,21,6,17,10,24,12,15,100
Zagitova,1,<1,<1,1,27,5,2,1,2,2,1,1,2,26,14,100
Miyahara,6,7,7,100,14,11,7,5,5,5,15,9,5,40,14,87
Grabner,6,5,5,7,5,5,4,5,6,6,5,8,10,8,14,100
Bad Bunny,50,54,60,56,47,47,49,86,87,97,89,80,77,76,78,100
Want You Back,12,15,16,14,11,14,13,14,13,14,12,18,15,13,20,100
Rhapsody in Blue,11,7,9,9,100,13,12,9,10,10,6,6,6,9,6,40
Wizards,65,77,45,61,42,38,36,46,36,37,35,33,35,34,42,100
Carsen Edwards,35,8,14,5,4,0,0,4,15,5,5,31,14,6,6,100
Klay,62,53,41,83,37,45,30,45,50,49,100,86,37,38,36,49
Tyler Seguin,81,52,100,84,79,58,61,69,60,73,65,57,70,49,24,56
Black Swan,69,78,91,100,80,63,62,64,63,66,77,62,83,79,59,78
Milos,81,85,88,95,97,96,79,87,82,91,94,81,100,85,99,78
Draymond,25,38,22,24,18,29,26,33,18,13,16,100,58,28,20,20
David West,63,73,68,100,74,90,65,62,64,35,58,70,56,61,55,71
Terrazas,80,88,82,98,94,100,75,80,82,100,80,71,85,82,81,94
DeAndre Jordan,100,30,23,11,7,4,8,21,7,3,3,3,2,3,2,8
Santa Tecla,36,22,19,24,28,32,32,36,22,31,24,27,26,30,52,100
Austin Rivers,42,34,100,48,39,33,22,72,13,10,10,13,9,11,20,83
Season 10,68,69,77,84,64,62,58,56,62,67,74,68,72,59,61,100
Wisin y Yandel,35,41,52,33,29,29,28,30,31,47,37,26,35,32,36,100
Bobby Portis,6,2,16,42,11,13,6,7,5,2,1,1,3,4,2,100
JaVale McGee,66,57,48,87,40,55,22,56,21,43,55,44,30,30,20,100
Nick Young,53,63,47,80,85,100,59,58,61,45,47,52,54,48,62,81
Jordan Morris,53,27,40,40,45,44,36,36,18,40,59,53,61,26,35,100
Medvedeva,1,3,3,69,32,15,8,7,12,33,10,8,9,41,16,100
Schindler's List,35,20,31,66,32,43,35,31,32,76,35,19,19,15,35,100
Kaetlyn Osmond,1,1,2,43,15,6,4,3,2,3,2,2,6,40,12,100
Elijah Brown,97,60,44,44,98,98,39,0,60,89,44,97,38,75,78,100
Remy Martin,50,70,69,61,60,68,66,62,100,83,69,49,52,42,50,64
Steve Ballmer,38,61,21,32,16,28,50,35,42,18,46,78,18,46,19,100
Kari Lehtonen,0,68,100,100,45,45,0,89,0,50,50,66,0,43,44,91
Sounders,24,24,29,21,23,39,28,30,50,19,18,20,27,30,47,100
Tra Holder,39,59,44,43,39,0,0,39,100,88,0,39,75,37,0,40
Premio Lo Nuestro,1,1,1,1,1,1,2,2,2,1,1,2,6,11,21,100
Alina,16,16,18,19,37,20,18,17,17,18,17,17,17,39,28,100
Malachi Flynn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
Duncan Jones,11,7,14,14,11,6,7,10,6,9,10,15,15,22,32,100
Nation Of Immigrants,13,11,0,12,8,5,8,5,5,9,0,16,10,8,18,100
Billy Donovan,53,36,50,50,36,36,53,54,27,40,30,26,0,26,35,100
Rhapsody in Blue,11,7,9,9,100,13,12,9,10,10,6,6,6,9,6,40
Lou Williams,100,41,97,36,18,19,11,55,19,19,46,24,24,17,18,40
Logic,80,76,61,64,80,77,71,79,72,60,58,71,78,75,78,100
The Assembly,87,86,45,66,83,88,77,82,69,51,71,82,85,100,91,92
Bobby Hurley,11,12,11,15,3,13,10,17,100,18,3,7,8,4,6,15
Danilo Gallinari,23,30,66,40,26,29,6,89,27,37,7,10,9,16,19,100
Benoit,51,44,40,38,49,44,45,48,54,53,46,51,50,52,51,100
Michael Grabner,3,2,3,7,1,3,1,1,1,4,2,3,7,6,12,100
The NRA,2,3,1,2,2,2,5,52,53,36,46,36,32,35,100,89
Zaza,100,65,67,88,67,63,51,69,48,75,60,55,52,55,71,69
Michelle Kwan,9,40,23,74,74,37,24,22,32,29,16,23,33,50,19,100
Demarcus Lawrence,31,32,23,29,21,15,10,21,26,17,23,66,65,40,56,100
Armed Deputy,0,1,0,0,0,0,1,0,1,0,0,1,0,0,26,100
Make Me Feel,46,43,59,57,53,51,58,54,56,50,55,51,53,44,53,100
Nike Flyknit Trainer,48,32,51,16,17,42,52,18,29,16,27,62,51,51,97,100
Bobby Portis,6,2,16,42,11,13,6,7,5,2,1,1,3,4,2,100
Manafort and Gates,6,0,0,0,0,0,0,6,13,10,7,21,12,12,61,100
Carroll County,100,57,39,47,63,57,57,61,61,40,35,55,63,64,50,78
Scott Peterson,1,1,1,2,1,1,1,1,1,1,1,1,1,1,10,100
Batgirl,58,64,53,62,48,42,41,39,47,40,48,39,40,32,53,100
Medvedeva,1,3,3,69,32,15,8,7,12,33,10,8,9,41,16,100
Alina Zagitova,<1,1,<1,2,24,5,2,1,2,1,1,1,2,27,14,100
Annihilation,7,7,7,9,7,9,9,10,10,10,12,12,15,28,49,100
Clippers,57,57,100,69,46,50,40,62,46,58,49,52,39,35,50,88
Mute,25,23,24,26,26,25,23,23,24,23,26,22,27,27,30,100
Wayne LaPierre,<1,1,0,<1,1,1,1,8,4,3,3,4,4,4,100,82
Brendan Fraser,3,4,5,6,3,4,4,4,4,4,6,5,3,3,45,100
Lehigh County,100,60,26,62,42,71,84,88,77,66,54,42,89,60,100,80
Dana Loesch,1,1,<1,<1,1,1,1,2,1,1,1,1,1,4,100,84
Billy Graham,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,100,58,20
Janelle Monae,5,10,6,6,6,5,8,13,19,18,15,11,15,11,40,100
Canada,79,78,78,83,89,85,79,86,81,80,78,83,87,88,100,94
Ted Cruz,44,56,25,36,44,54,50,100,76,89,43,42,53,46,73,95
ASM Sports,0,3,0,3,3,3,0,8,8,6,3,3,3,3,15,100
Duncan Jones,11,7,14,14,11,6,7,10,6,9,10,15,15,22,32,100
Marco Rubio,3,3,3,1,2,2,4,21,13,13,14,7,7,9,100,47
We're LIVE ON-AIR,3,3,3,1,2,2,4,21,13,13,14,7,7,9,100,47
I-85 SB,3,3,3,1,2,2,4,21,13,13,14,7,7,9,100,47
Eric Greitens,<1,1,1,<1,<1,1,1,1,1,1,1,<1,1,<1,36,100
44 More,1,<1,<1,1,<1,1,1,1,<1,1,<1,<1,1,1,18,100
NEW THIS MORNING,39,57,45,80,40,56,71,48,82,18,36,55,54,100,55,57
The Souls Of Black Folk,82,28,41,20,64,73,100,83,47,31,41,99,44,62,82,84
Really Bad Idea,0,0,99,100,0,88,0,0,0,100,99,0,86,0,0,0
Fri-yay,0,0,0,0,0,0,0,0,99,0,0,0,0,0,96,100
Best Free Phone Event Ever,0,0,0,0,0,0,0,0,99,0,0,0,0,0,96,100
Corea del Sur,50,98,88,87,70,100,67,58,64,83,65,79,65,60,65,60
Parkland Survivor,0,0,0,0,0,0,18,48,18,20,33,41,29,86,100,79
Grapefruit League,24,25,28,27,43,24,30,31,9,41,20,36,33,32,24,100
Stick to the Script,0,0,0,0,0,49,0,0,0,0,0,0,0,24,24,100
Let the Teachers Teach,0,0,0,0,0,49,0,0,0,0,0,0,0,24,24,100
Brent Honeywell,14,11,8,16,14,7,10,7,25,20,20,10,14,17,52,100
Diamond Stone,34,42,51,42,39,36,33,36,32,43,33,35,36,29,34,100
Florida HS,1,0,2,3,3,3,49,100,21,15,12,12,9,1,4,9
Fox & Friends,70,54,100,39,36,53,70,53,36,0,0,35,17,51,35,0
Chief's Speech,0,0,0,100,0,0,0,0,0,0,0,0,86,0,0,91
Happy Friyay,0,100,0,0,0,0,0,20,61,0,0,0,0,0,0,60
Kevin Knox,8,8,15,32,13,8,15,31,12,26,11,15,13,28,13,100
Tony Bradley,9,9,10,20,11,18,5,5,5,10,13,4,9,9,11,100
Break Up In The End,6,3,3,0,0,0,0,3,0,0,0,0,30,8,9,100
Alisyn Camerota,79,100,33,24,11,25,22,58,19,24,8,29,49,35,32,89
More Like Team Minnesota,79,100,33,24,11,25,22,58,19,24,8,29,49,35,32,89
Samantha Fuentes,13,7,0,8,0,0,0,0,0,0,0,0,7,20,10,100
Little Manatee River,24,25,27,0,25,0,36,0,25,41,27,0,0,35,0,100
Charlemagne,84,98,69,85,98,88,90,92,89,84,78,81,86,92,100,100
Lomas Santa Fe,79,27,30,39,35,35,35,35,100,60,20,52,26,34,44,72
Tom Izzo,11,18,100,42,11,11,23,17,30,29,26,28,19,30,17,88
Dennis Smith,8,12,9,13,11,7,8,7,9,31,100,20,9,10,7,24
Happy FriYAY,0,99,0,0,0,0,0,24,100,0,0,0,0,0,0,62
Sheldon Adelson,29,14,15,19,17,31,15,25,14,6,15,4,7,11,10,100
Mueller and Trump,21,22,0,48,11,32,32,11,100,61,36,43,53,10,54,77
Trump Campaign Aide,0,0,0,0,0,0,0,0,0,0,0,100,0,8,9,13
Anbang,1,0,1,0,2,3,2,1,0,2,1,2,2,1,1,100
Tim Quarterman,0,0,0,0,14,0,14,0,0,16,0,14,0,13,14,100
Tommy John,81,94,78,100,61,73,65,68,77,79,68,65,67,67,87,70
Paris Climate Accord,30,41,23,22,100,30,49,40,20,0,33,29,39,38,39,51
Bremerton High School,100,52,38,75,68,34,34,0,0,0,0,33,33,33,33,86
Isaiah Whitehead,0,33,0,18,0,16,0,0,17,19,0,16,0,16,16,100
Rick Perry,60,81,42,42,47,46,65,28,72,37,73,46,50,63,93,100
W. E. B. Du Bois,37,39,0,56,51,50,38,76,91,0,0,100,25,61,25,0
Space Cowboy,42,47,48,18,39,39,29,49,37,41,44,19,22,44,19,100
General Mills,36,30,21,26,33,33,25,27,26,15,21,29,31,33,29,100
Trump's CPAC,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,100
Mute,25,23,24,26,26,25,23,23,24,23,26,22,27,27,30,100
Kuzma,60,87,56,49,42,35,25,47,55,100,38,41,34,39,36,50
Matt Schlapp,8,36,13,9,24,36,16,0,12,36,0,0,100,50,27,85
Stephen Fry,5,3,5,4,4,5,4,4,4,7,10,5,4,4,4,100
Iwo Jima,52,45,38,49,59,64,42,51,63,45,39,79,73,66,48,100
Jerusalem,84,77,86,100,76,79,81,81,79,81,96,87,75,80,79,78
Twilight Sunrise,30,30,17,17,15,30,15,30,15,17,100,44,0,51,30,15
Martellus Bennett,50,68,75,56,100,17,50,84,52,0,0,49,0,16,33,85
Charlemagne,84,98,69,85,98,88,90,92,89,84,78,81,86,92,100,100
Diamond Stone,34,42,51,42,39,36,33,36,32,43,33,35,36,29,34,100
Amare,100,74,51,51,37,37,53,98,68,50,39,39,38,74,99,69
Naismith Coach of the Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Marco Sturm,1,0,1,0,0,3,1,1,3,1,6,1,3,16,7,100
Consejo Permanente,48,100,55,0,49,0,48,99,51,0,55,48,95,47,48,75
More Like Team Minnesota,48,100,55,0,49,0,48,99,51,0,55,48,95,47,48,75
Christopher Whitaker,0,18,39,0,0,34,34,17,18,20,0,17,0,100,68,53
Don Leahy,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
Free G Herbo,33,0,37,38,0,100,33,0,34,38,0,33,0,32,33,51
Dom Smith,48,100,55,55,49,97,73,0,50,0,54,48,0,47,0,50
martellus bennett,41,57,55,23,42,49,28,56,14,40,16,28,14,34,48,100
Ed Warinner,21,9,0,0,0,8,0,9,0,0,0,0,8,8,8,100
I Don't Do Doping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
The School of San Juan,32,100,37,36,32,32,32,49,33,0,0,0,32,32,0,83
FL Gov,43,56,0,37,66,33,33,100,57,25,50,43,22,64,33,90
Donkey of the Day,24,17,18,18,24,24,48,33,17,18,0,16,40,40,65,83
Mueller and Trump,35,50,24,31,21,35,49,28,86,47,71,48,61,54,90,100
Mark Emmert,0,0,13,0,0,0,0,0,12,0,25,0,0,43,11,92
Team U.S.A.,90,100,0,0,88,88,89,0,0,0,87,0,0,0,0,0
Mike Wright,76,56,69,61,62,49,87,88,56,82,85,36,83,49,100,55
Marion Hammer,3,0,0,0,3,0,0,10,8,15,11,13,5,26,11,100
Andy Miller,9,6,5,6,3,4,7,14,19,16,10,9,5,9,29,99
Josh Bailey,10,8,12,6,31,5,10,5,11,6,6,15,5,15,28,100
BASEBALL IS BACK,27,29,87,39,77,51,39,26,58,57,76,75,100,38,52,43
McCain,72,68,74,70,52,49,56,50,56,35,46,40,43,36,51,100
Jordan Barnett,0,100,33,0,0,59,0,31,33,0,0,0,29,29,0,0
Grapefruit League,14,24,17,21,23,23,33,12,24,22,27,23,24,17,49,100
Mark Turgeon,0,0,67,0,60,30,30,30,0,33,29,0,29,29,61,100
General Mills,45,33,18,23,28,25,30,37,24,11,21,27,37,28,40,100
Mute,16,15,17,17,16,16,15,15,14,16,17,16,18,18,20,70
RB Chris Ivory,16,15,17,17,16,16,15,15,14,16,17,16,18,18,20,70
FREE G HERBO,92,50,50,0,90,67,45,46,100,0,88,0,43,44,68,0
Israel's 70th,92,50,50,0,90,67,45,46,100,0,88,0,43,44,68,0
The NCAA,44,42,45,71,73,63,48,49,60,63,66,61,81,83,70,81
Estevan Florial,0,32,32,28,0,0,0,0,0,63,28,68,68,0,100,79
Trey Burton,85,100,79,33,23,19,33,10,42,26,5,14,9,9,67,36
Max Stassi,0,0,51,0,45,89,0,0,0,50,0,43,0,0,68,100
Hansel Robles,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Walton,58,35,23,12,21,12,100,45,8,19,8,5,6,7,5,20
Andy Reid,95,100,90,80,30,71,51,48,57,33,33,25,25,33,43,76
Chris Lee,37,45,54,63,62,56,77,50,53,63,53,47,89,49,100,69
Cuonzo Martin,44,33,97,0,0,100,58,89,64,32,0,0,0,43,58,64
Adrian Gonzalez,60,100,55,39,74,73,49,96,83,71,58,100,67,82,75,93
Frank Gaffney,52,0,56,0,0,50,0,0,58,0,50,0,49,100,0,0
Austin Romine,0,0,28,0,0,0,0,0,28,0,0,0,24,0,100,28
PDFs to Word,0,0,25,22,100,22,22,0,0,0,22,43,65,44,56,25
Justin Turner,36,30,35,31,27,31,27,23,35,65,22,13,43,49,100,60
ON SALE NOW,27,22,37,49,49,16,32,33,100,56,43,32,37,42,27,33
Turnbull,37,39,45,46,55,43,79,83,46,84,70,60,54,70,100,87
RHP J.T. Chargois,37,39,45,46,55,43,79,83,46,84,70,60,54,70,100,87
Gawker,65,45,58,46,40,48,83,59,100,58,48,24,41,57,40,78
Mengden,46,0,100,0,0,0,45,0,0,0,44,0,0,0,91,0
Servicio Secreto,15,84,100,67,45,44,75,46,25,58,29,29,65,37,15,50
Doug Marrone,75,56,56,0,49,0,0,0,56,0,0,48,48,0,100,55
Florida Gov,15,11,11,35,20,44,100,46,28,33,20,24,29,34,70,67
Kevin Knox,12,15,25,11,11,13,23,21,38,11,7,18,35,21,100,87
Gothamist,0,7,0,16,10,15,5,10,8,0,11,0,5,12,5,100
Malik Pope,0,0,7,0,7,0,0,0,7,0,13,0,0,0,64,100
SheBelieves Cup,0,44,0,0,39,0,40,80,45,88,0,38,57,97,100,66
Brett Kennedy,0,0,56,0,100,50,0,0,56,0,49,0,48,0,51,0
Yahoo,99,97,70,63,92,95,96,99,94,87,67,95,97,100,97,97
Nick Hundley,0,0,0,0,0,0,0,0,0,0,100,0,0,0,52,0
One America News,39,30,48,33,44,44,31,28,33,30,44,37,49,38,100,34
Paterno,22,17,21,26,16,25,21,25,29,25,24,25,26,27,32,100
Suecia,68,65,92,75,65,61,86,86,74,100,85,82,82,83,74,79
Scott Van Slyke,0,0,0,33,33,0,33,0,38,0,0,0,0,0,100,74
